board_label,fqbn,flag,filesystem,partition,display_model,tft_enabled,tft_header,core_version,nimble_version,esp_async_repo,esp_async_version,addr
Flipper Zero WiFi Dev Board,"esp32:esp32:esp32s2:PartitionScheme=min_spiffs,FlashSize=4M,PSRAM=enabled",MARAUDER_FLIPPER,spiffs,min_spiffs,SERIAL_ONLY,false,,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Flipper Zero Multi Board S3,"esp32:esp32:esp32s3:PartitionScheme=min_spiffs,FlashSize=4M",MARAUDER_MULTIBOARD_S3,spiffs,min_spiffs,SERIAL_ONLY,false,,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x0
OG Marauder,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_V4,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_og_marauder.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder v6,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_V6,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_og_marauder.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder v6.1,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_V6_1,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_og_marauder.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder Kit,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_KIT,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_og_marauder.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder Mini,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_MINI,spiffs,min_spiffs,UNSET_TFT,true,User_Setup_marauder_mini.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
ESP32 LDDB,"esp32:esp32:d32:PartitionScheme=min_spiffs",ESP32_LDDB,spiffs,min_spiffs,SERIAL_ONLY,false,,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder Dev Board Pro,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_DEV_BOARD_PRO,spiffs,min_spiffs,SERIAL_ONLY,false,,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
M5StickCPlus,"esp32:esp32:m5stick-c:PartitionScheme=min_spiffs",MARAUDER_M5STICKC,spiffs,min_spiffs,ST7789_135x240_SPI,true,User_Setup_marauder_m5stickc.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
M5StickCPlus 2,"esp32:esp32:m5stick-c:PartitionScheme=min_spiffs",MARAUDER_M5STICKCP2,spiffs,min_spiffs,ST7789_135x240_SPI,true,User_Setup_marauder_m5stickcp2.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Rev Feather,"esp32:esp32:esp32s2:PartitionScheme=min_spiffs,FlashSize=4M,PSRAM=enabled",MARAUDER_REV_FEATHER,spiffs,min_spiffs,UNSET_TFT,true,User_Setup_marauder_rev_feather.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder v7,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_V7,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_dual_nrf24.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder CYD 2432S028,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_CYD_MICRO,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_cyd_micro.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder CYD 2432S024 GUITION,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_CYD_GUITION,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_cyd_guition.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder CYD 2432S028 2 USB,"esp32:esp32:d32:PartitionScheme=min_spiffs",MARAUDER_CYD_2USB,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_cyd_2usb.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
Marauder v7.1,"esp32:esp32:dfrobot_firebeetle2_esp32e:FlashSize=16M,PartitionScheme=min_spiffs,PSRAM=enabled",MARAUDER_V7_1,spiffs,min_spiffs,ILI9341_320x240_SPI,true,User_Setup_dual_nrf24.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
M5Cardputer,"esp32:esp32:esp32s3:PartitionScheme=min_spiffs,FlashSize=8M,PSRAM=disabled",MARAUDER_CARDPUTER,spiffs,min_spiffs,ST7789_135x240_SPI,true,User_Setup_marauder_m5cardputer.h,2.0.11,1.3.8,bigbrodude6119/ESPAsyncWebServer,master,0x1000
ESP32-C5-DevKitC-1,"esp32:esp32:esp32c5:PartitionScheme=min_spiffs",MARAUDER_C5,spiffs,min_spiffs,SERIAL_ONLY,false,,3.3.0,2.3.0,bigbrodude6119/ESPAsyncWebServer,master,0x2000
